name,phone,social,2gis_url
Дизайн 360,+79888880327,"WhatsApp, Taplink, Telegram",https://2gis.ru/anapa/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/firm/70000001109866572/37.343843%2C44.899911?m=37.343843%2C44.899911%2F10.62
Дизайн 360,+79186436060,"WhatsApp, Taplink, Telegram",https://2gis.ru/anapa/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/firm/70000001109866572/37.343843%2C44.899911?m=37.343843%2C44.899911%2F10.62
Дизайн 360,+79189116000,"WhatsApp, Taplink, Telegram",https://2gis.ru/anapa/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/firm/70000001109866572/37.343843%2C44.899911?m=37.343843%2C44.899911%2F10.62
Дизайн 360,+79189866636,"WhatsApp, Taplink, Telegram",https://2gis.ru/anapa/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/firm/70000001109866572/37.343843%2C44.899911?m=37.343843%2C44.899911%2F10.62
Дизайн 360,+79181543090,"WhatsApp, Taplink, Telegram",https://2gis.ru/anapa/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/firm/70000001109866572/37.343843%2C44.899911?m=37.343843%2C44.899911%2F10.62
Компания ремонтных работ,+79895597974,"WhatsApp, Telegram",https://2gis.ru/anapa/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/firm/70000001109866572/37.343843%2C44.899911?m=37.343843%2C44.899911%2F10.62
Вверхстрой,+79398821208,WhatsApp,https://2gis.ru/gelendzhik/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/firm/70000001110245963/38.083908%2C44.560516?m=38.971677%2C45.027332%2F10.62
Nachalo,+78617620202,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/firm/70000001105621915/39.040933%2C45.05906?m=38.083908%2C44.560516%2F10.62
Тиммакс,+79604833843,"WhatsApp, Telegram",https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/firm/70000001105621915/39.040933%2C45.05906?m=39.040933%2C45.05906%2F10.62
Снк-строй,+79189553525,WhatsApp,https://2gis.ru/krasnodar/search/%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%20%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80/filters/sort%3Dopened_time/firm/70000001105150139/38.840598%2C45.276664?m=39.040933%2C45.05906%2F10.62
