name,phone,city,query,url
Команда R,+78612050688,krasnodar,ремонт квартир,https://2gis.ru/krasnodar/firm/70000001050270840
Алеарт-Строй,+79994442920,krasnodar,ремонт квартир,https://2gis.ru/krasnodar/firm/70000001023501820
Люди,+79676666234,krasnodar,ремонт квартир,https://2gis.ru/krasnodar/firm/70000001099460040
ЕСС,+79385457888,krasnodar,ремонт квартир,https://2gis.ru/krasnodar/firm/70000001081254397
Технологии комфорта,+79282755456,krasnodar,ремонт квартир,https://2gis.ru/krasnodar/firm/70000001076314753
Фаворит Строй,+79884724763,krasnodar,ремонт квартир,https://2gis.ru/krasnodar/firm/70000001025724163
Remontier,+79852196320,krasnodar,ремонт квартир,https://2gis.ru/krasnodar/firm/70000001034482452
ВласРемСтрой,+79064350149,krasnodar,ремонт квартир,https://2gis.ru/krasnodar/firm/70000001102729364
Основа,+79181925222,krasnodar,ремонт квартир,https://2gis.ru/krasnodar/firm/70000001099965371
Nachalo,+79826540495,krasnodar,ремонт квартир,https://2gis.ru/krasnodar/firm/70000001105621915
Loft,+79888880327,krasnodar,ремонт квартир,https://2gis.ru/krasnodar/firm/70000001104330944
Степ-Строй,+79952272307,krasnodar,ремонт квартир,https://2gis.ru/krasnodar/firm/70000001088822572
